0,1,2,3,4,5,6,7,8
,,not annualised,not annualised,not annualised,,,,
,For discontinued operation:,,,,,,,
,(!) Ihisn,0.22,(l).«),I M-bJ,(11.271,(2.45),(tuft),e H7)
III) Diluted,022,(0.«),1 1 46),«l.27|,(2.45),"IIIV,1",I2B7),
,,not annualised,not annualised,not anntinllsed,,,,
For discontinued&continuing' operations:,,,,,,,,
,(!) basic,5.17,3.01,3.56,12.06,9.62,"5,55",3.26
,(it) Diluted,S.1 7,3.01,"3,56",12 06,9.62,555,3.26
,,mil annualised,not annualised,not annualised,,,,
(2,Net wort li,,,,,,,
,(i) Paid-up equity share capital (?2per share),63 95,6395,63.95,63 95,63.95,63 95,63 95
,(ii) Ueserves/olher equity,,,,"5,849 07","5,499.9 1",5.432 45,"5,322 19"
,(iii) Debenture Redemption Reserve (Included in above),,,,83.98,105.40,83 98,105 40
,(iv) Net worth,,,,"5.913,02","5,563.86",5.496 40,5 186 1 1
ii,Ratios:,,,,,,,
,11) Debt Equity Ratio,,,,0.75,0.75,,
,(ii) Debt Service Coverage Katin,,,,1.49,124,,
,(ill) Interest Set vice Coverage Ratio,,,,294,2.87,,
,(Iv) Asset Coverage for NCU.s,,,,2.92,3.12,,
