0,1,2,3,4,5,6,7,8,9
,- Basic,,2.28,1.54,1.63,5.34,4.24,6.06,5.52
,- Diluted,,2.27,1.53,1.63,5.32,4.24,6.04,5.52
,Earnings per equity share (for discontinued operations),,,,,,,,
,- Basic,,-,-,-,-,-,(0.04),(0.01)
,- Diluted,,-,-,â€¢,*,*,(0.04),(0.01)
,Earnings per equity share (for discontinued and continuing operations),,,,,,,,
,- Basic,,2.28,1.54,1.63,5.34,4.24,6.02,5.51
,- Diluted,,2.27,1.53,1.63,5.32,4.24,6.00,5.51
22,Paid-up equity share capital (Face value per share of Re.1/- each),,"29,271.08","29,271.08","28,458.80","29,271.08","28,458.80","29,271.08","28,458.80"
23,Other equity,,,,,"687,208.67","584,147.96","712,788.21","610,835.52"
24,Capital redemption reserve,,,,,333.33,333.33,333.33,333.33
25,Debenture redemption reserve,,,,,"3,750.00","10,000.00","3,750.00","10,000.00"
26,Paid up debt capital / outstanding debt,,,,,"100,445.74","215,031.72",,
27,Net worth,,,,,"716,479.75","612,606.76","742,059.29","639,294.32"
28,Debt equity ratio,,,,,0.14,0.35,,
29,Debt service coverage ratio,,,,,0.21,1.45,,
30,Interest service coverage ratio,,,,,21.46,12.89,,
